VOYAGEID,ARRPORT,CAPTAINA,CREW1,CREW2,D1SLATRA,D1SLATRB,D1SLATRC,DATARR32,DATARR33,DATARR34,DATEDEP,DATEDEPA,DATEDEPAM,DATEDEPB,DATEDEPC,DATEEND,DATELAND1,DATELAND2,DEPTREGIMP,DEPTREGIMP1,DLSLATRA,DLSLATRB,DLSLATRC,EMBPORT,EMBPORT2,EMBREG,EMBREG2,EVGREEN,FATE,FATE2,FATE3,FATE4,MAJBUYPT,MAJBYIMP,MAJBYIMP1,MAJSELPT,MJBYPTIMP,MJSELIMP,MJSELIMP1,MJSLPTIMP,NATINIMP,NATIONAL,OWNERA,OWNERB,OWNERC,PLAC1TRA,PLAC2TRA,PLAC3TRA,PLACCONS,PLACREG,PORTDEP,PORTRET,PTDEPIMP,REGARR,REGARR2,REGDIS1,REGDIS2,REGDIS3,REGEM1,RIG,SAILD1,SAILD2,SAILD3,SAILD4,SAILD5,SHIPNAME,SLA1PORT,SLAARRIV,SLADAFRI,SLADAMER,SLADVOY,SLAMIMP,SLAS32,SLAXIMP,SLINTEN2,SLINTEND,SOURCEA,SOURCEB,SOURCEC,SOURCED,SOURCEE,SOURCEF,SOURCEG,SOURCEH,TSLAVESD,TSLAVESP,TSLMTIMP,VOY1IMP,VOY2IMP,VOYAGE,VYMRTIMP,VYMRTRAT,XMIMPFLAG,YEAR5,YEAR10,YEAR25,YEAR100,YEARAF,YEARAM,YEARDEP,YRCONS,YRREG,filter_$
21,50422,"Domingues, Jerônimo",,,,11,1816,17,2,1817,,,,,,,1817-02-17,,50400,50000,,,,,,,,TRUE,1,1,14,1,60822,60800,60000,50422,60822,50400,50000,50422,6,,"Guimarães, Custódio da Silva",,,60822,,,,,50422,,50422,50400,,50400,,,60800,1,,,,,,Esgueira,50422,521,,,86,521,,607,,,"PP,1845,XLIX:593-633",Florentino,CapelaNotes,"AHU,Moçambique,Cx 151 No 91",,,,,607,,607,,58,58,86,0.14,19,64,32,13,1800,1817,1817,1816,,,0
22,50422,"Santos, Félix José dos",,,,,1816,24,2,1817,1816-10-02,2,,10,1816,,1817-02-24,,50400,50000,,,,60734,,60700,,TRUE,1,1,14,1,60799,60700,60000,50422,60734,50400,50000,50422,6,,"Vale, João Gomes",,,60734,,,,,50422,,50422,50400,,50400,,,60700,40,,,,,,Caçador,50422,570,,,24,570,,594,,,"PP,1845,XLIX:593-633",Florentino,"AHNA, Códice D-7-1","ANRJ, SM IV M - Liv.336 - Diversos,p.44v","GRJ,05/10/1816",,,,594,,594,145,32,32,24,0.04,81,64,32,13,1800,1817,1817,1816,,,0
23,,"Teodoro, Teotônio José",,,,,,27,2,1817,1816-07-08,8,,7,1816,,1817-02-27,,50400,50000,,,,60711,,60700,,TRUE,1,1,14,1,60711,60700,60000,50422,60711,50400,50000,50422,6,,"Mota, José Luís da",,,60711,,,,,,,50499,,,50400,,,60700,4,,,,,,Flor do Rio,50422,388,,,123,388,,511,,,"PP,1845,XLIX:593-633",Florentino,"GRJ,10/07/1816",,,,,,511,,511,234,49,49,123,0.24,35,64,32,13,1800,1817,1817,1816,,,0
24,,,,,,,,13,3,1817,,,,,,,1817-03-13,,50400,50000,,,,,,,,TRUE,1,1,14,1,,60900,60000,50422,60999,50400,50000,50422,6,,,,,,,,,,,,50499,,,50400,,,,1,,,,,,Pastora,50422,114,,,,114,,124,,,"PP,1845,XLIX:593-633",,,,,,,,,,,,,,,,19,64,32,13,1800,1817,1817,1817,,,0
25,,"Amorim, Domingos Fernandes de",,,,,,26,3,1817,1816-08-01,1,,8,1816,,1817-03-26,,50400,50000,,,,60711,,60700,,TRUE,1,1,14,1,60711,60700,60000,50422,60711,50400,50000,50422,6,,"Loureiro, Domingos Gomes Duarte",,,60711,,,,,50422,,50422,,,50400,,,60700,40,,,,,,Emília,50422,415,,,29,415,,444,,,"PP,1845,XLIX:593-633",Florentino,"GRJ,03/08/1816",,,,,,444,,444,237,45,45,29,0.07,81,64,32,13,1800,1817,1817,1816,,,0
26,50422,"Siqueira, João Inácio de",,,5,12,1816,2,4,1817,1816-10-14,14,,10,1816,,1817-04-02,,50400,50000,,,1817,60707,,60700,,TRUE,1,1,14,1,60707,60700,60000,50422,60707,50400,50000,50422,6,,"Ferreira, João Antônio",,,60707,,,,,50422,,50422,50400,,50400,,,60700,40,,,,,,S Pedro do Sul,50422,428,,,14,428,,442,,,"PP,1845,XLIX:593-633",Florentino,"AHNA, Códice D-7-1","ANRJ, SM IV M - Liv.336 - Diversos,p.45","AHNA, Códice E-20-1 (Benguela)",,,,442,,442,170,35,35,14,0.03,81,64,32,13,1800,1817,1817,1816,,,0
27,,"Castro, Alexandre José de",,,,,,11,4,1817,1816-08-01,1,,8,1816,,1817-04-11,,50400,50000,,,,60711,,60700,,TRUE,1,1,14,1,60711,60700,60000,50422,60711,50400,50000,50422,6,,"Guimarães, Francisco José",,,60711,,,,,50422,,50422,,,50400,,,60700,2,,,,,,Diligente,50422,129,,,8,129,,137,,,"PP,1845,XLIX:593-633",Florentino,"GRJ,03/08/1816",,,,,,137,,137,253,45,45,8,0.06,24,64,32,13,1800,1817,1817,1816,,,0
28,,"Teixeira, José de Souza",,,,,,11,4,1817,1816-10-06,6,,10,1816,,1817-04-11,,50400,50000,24,2,1817,60711,,60700,,TRUE,1,1,14,1,60711,60700,60000,50422,60711,50400,50000,50422,6,,"Almeida, Bernardo Luís de",,,60711,,,,,50422,,50422,,,50400,,,60700,40,,,,,,S João Americano,50422,524,,,73,524,,597,,,"PP,1845,XLIX:593-633",Florentino,"GRJ,09/10/1816",,,,,,597,,597,187,46,45,73,0.12,81,64,32,13,1800,1817,1817,1816,,,0
29,,"Pina, Antônio de",,,,,,11,4,1817,1816-10-10,10,,10,1816,,1817-04-11,,50400,50000,,,,60711,,60700,,TRUE,1,1,14,1,60711,60700,60000,50422,60711,50400,50000,50422,6,,"Rocha, José Francisco Ferreira da",,,60711,,,,,50422,,50422,,,50400,,,60700,3,,,,,,Grão Penedo,50422,487,,,59,487,,546,,,"PP,1845,XLIX:593-633",Florentino,"GRJ,12/10/1816",,,,,,546,,546,183,52,52,59,0.11,30,64,32,13,1800,1817,1817,1816,,,0
30,50422,"Oliveira, José Malaquias de",,,,,1816,23,4,1817,1816-09-17,17,,9,1816,,1817-04-23,,50400,50000,,,1817,60734,,60700,,TRUE,1,1,14,1,60799,60700,60000,50422,60734,50400,50000,50422,6,,"Macedo, Diogo Teixeira de",,,60799,,,,,50422,,50422,50400,,50400,,,60700,40,,,,,,Mariana Dáfne,50422,307,,,14,307,,321,,,"PP,1845,XLIX:593-633",Florentino,"AHNA, Codice C-16-2","AHNA, Códice D-7-1","ANRJ, SM IV M - Liv.336 - Diversos,p.44","GRJ,21/09/1816",,,321,,321,218,42,42,14,0.04,81,64,32,13,1800,1817,1817,1816,,,0
31,50422,"Gomes, Manoel José",,,11,2,1817,19,5,1817,1816-08-08,8,,8,1816,,1817-05-19,,50400,50000,,,1817,60820,,60800,,TRUE,1,1,14,1,60820,60800,60000,50422,60820,50400,50000,50422,6,,"Matos, Fernando Joaquim de",,,60820,,,,,50422,,50422,50400,,50400,,,60800,25,,,,,,Resolução,50422,354,,,47,354,,401,,,"PP,1845,XLIX:593-633",Florentino,"GRJ,10/08/1816",CapelaNotes,"AHU,Moçambique, Cx 152 No 44",,,,401,,401,284,97,97,47,0.12,63,64,32,13,1800,1817,1817,1816,,,0
32,,"Sá, Teodoro José de",,,,,,31,5,1817,1816-11-14,14,,11,1816,,1817-05-31,,50400,50000,19,4,1817,60711,,60700,,TRUE,1,1,14,1,60711,60700,60000,50422,60711,50400,50000,50422,6,,"Tavares, João Inácio",,,60711,,,,,50422,,50422,,,50400,,,60700,40,,,,,,Serpente,50422,429,,,10,429,,439,,,"PP,1845,XLIX:593-633",Florentino,"GRJ,16/11/1816",,,,,,439,,439,198,42,42,10,0.02,81,64,32,13,1800,1817,1817,1816,,,0
33,,"Lopes, Francisco da Silva",,,,,,1,6,1817,1816-11-27,27,,11,1816,,1817-06-01,,50400,50000,,,,60711,,60700,,TRUE,1,1,14,1,60711,60700,60000,50422,60711,50400,50000,50422,6,,"Silva, Amaro Velho da",,,60711,,,,,50422,,50422,,,50400,,,60700,25,,,,,,Lusitânia,50422,649,,,89,649,,738,,,"PP,1845,XLIX:593-633",Florentino,"GRJ,30/11/1816",,,,,,738,,738,186,37,37,89,0.12,63,64,32,13,1800,1817,1817,1816,,,0
34,,"Silva, José Leite da",,,,,,8,6,1817,1816-04-11,11,,4,1816,,1817-06-08,,50400,50000,,,,60711,,60700,,TRUE,1,1,14,1,60711,60700,60000,50422,60711,50400,50000,50422,6,,"Vieira, José Inácio Vaz",,,60711,,,,,50422,,50422,,,50400,,,60700,40,,,,,,Reino do Brasil,50422,352,,,75,352,,427,,,"PP,1845,XLIX:593-633",Florentino,"GRJ,13/04/1816",,,,,,427,,427,423,34,34,75,0.18,81,64,32,13,1800,1817,1817,1816,,,0
35,,"Melo, Francisco Xavier Álvares de",,,,,,10,6,1817,,,,,,,1817-06-10,,50400,50000,,,,,,,,TRUE,1,1,14,1,60711,60700,60000,50422,60711,50400,50000,50422,6,,"Silva, Amaro Velho da",,,60711,,,,,,,50499,,,50400,,,60700,4,,,,,,Maria Tomásia,50422,368,,,20,368,,388,,,"PP,1845,XLIX:593-633",Florentino,,,,,,,388,,388,,26,26,20,0.05,35,64,32,13,1800,1817,1817,1817,,,0
36,50422,"Ferreira, Francisco Pedro",,,,,1817,22,6,1817,1816-12-23,23,,12,1816,,1817-06-22,,50400,50000,20,5,1817,60734,,60700,,TRUE,1,1,14,1,60734,60700,60000,50422,60734,50400,50000,50422,6,,"Guimarães, Francisco José",,,60734,,,,,50422,,50422,50400,,50400,,,60700,40,,,,,,S José Diligente Vulcano,50422,409,,,11,409,,420,,,"PP,1845,XLIX:593-633",Florentino,"AHNA, Códice D-7-1","AHNA, Codice C-16-2","ANRJ, SM IV M - Liv.336 - Diversos,p.45v","GRJ,25/12/1816",,,420,,420,181,33,32,11,0.03,81,64,32,13,1800,1817,1817,1816,,,0
37,,"Souza, Manoel Pereira de",,,,,,14,7,1817,1816-12-14,14,,12,1816,,1817-07-14,,50400,50000,,,,60711,,60700,,TRUE,1,1,14,1,60707,60700,60000,50422,60707,50400,50000,50422,6,,,,,60707,,,,,50422,,50422,,,50400,,,60700,40,,,,,,General Silveira,50422,436,,,64,436,,500,,,"PP,1845,XLIX:593-633",Florentino,"GRJ,18/12/1816",,,,,,500,,500,212,42,42,64,0.13,81,64,32,13,1800,1817,1817,1816,,,0
38,50422,"Nunes, José Antônio",,,14,3,1817,15,7,1817,1816-12-07,7,,12,1816,,1817-07-15,,50400,50000,21,5,1817,60707,,60700,,TRUE,1,1,14,1,60711,60700,60000,50422,60711,50400,50000,50422,6,,"Rocha, Joaquim José da",,,60711,,,,,50422,,50422,50400,,50400,,,60700,3,,,,,,NS do Livramento Telêmaco,50422,481,,,60,481,,541,,,"PP,1845,XLIX:593-633",Florentino,"AHNA, Códice D-7-1","AHNA, Códice E-20-1 (Benguela)","AHNA, Códice E-2-2 (Benguela)","ANRJ, SM IV M - Liv.336 - Diversos,p.45v",,,541,,541,220,55,43,60,0.11,30,64,32,13,1800,1817,1817,1816,,,0
39,50422,"Camizão, José Maria de Araújo",,,,,,5,8,1817,1817-01-23,23,,1,1817,,1817-08-05,,50400,50000,,,1817,60734,,60700,,TRUE,1,1,14,1,60799,60700,60000,50422,60734,50400,50000,50422,6,,"Vale, João Gomes",,,60799,,,,,50422,,50422,50400,,50400,,,60700,25,,,,,,Amália,50422,776,,,37,776,,813,,,"PP,1845,XLIX:593-633",Florentino,"AHNA, Codice C-16-2","ANRJ, SM IV M - Liv.336 - Diversos,p.46","GRJ,25/01/1817",,,,813,,813,194,27,27,37,0.05,63,64,32,13,1800,1817,1817,1817,,,0
40,,"Caldas, Manoel José",,,,,,18,8,1817,1817-02-19,19,,2,1817,,1817-08-18,,50400,50000,,,,60711,,60700,,TRUE,1,1,14,1,60711,60700,60000,50422,60711,50400,50000,50422,6,,,,,60711,,,,,50422,,50422,,,50400,,,60700,40,,,,,,Diligente,50422,393,,,73,393,,466,,,"PP,1845,XLIX:593-633",Florentino,"GRJ,22/02/1817",,,,,,466,,466,180,29,29,73,0.16,81,64,32,13,1800,1817,1817,1817,,,0
41,50422,"Oliveira, Antônio Xavier de",,,,,1817,18,9,1817,1817-02-20,20,,2,1817,,1817-09-18,,50400,50000,,,,60734,,60700,,TRUE,1,1,14,1,60799,60700,60000,50422,60734,50400,50000,50422,6,,,,,60799,,,,,50422,,50422,50400,,50400,,,60700,40,,,,,,Tejo,50422,417,,,73,417,,490,,,"PP,1845,XLIX:593-633",Florentino,"AHNA, Códice D-7-1","ANRJ, SM IV M - Liv.336 - Diversos,p.46","GRJ,22/02/1817",,,,490,,490,210,34,34,73,0.15,81,64,32,13,1800,1817,1817,1817,,,0
