VOYAGEID,ARRPORT,CAPTAINA,CREW1,CREW2,D1SLATRA,D1SLATRB,D1SLATRC,DATARR32,DATARR33,DATARR34,DATEDEP,DATEDEPA,DATEDEPAM,DATEDEPB,DATEDEPC,DATEEND,DATELAND1,DATELAND2,DEPTREGIMP,DEPTREGIMP1,DLSLATRA,DLSLATRB,DLSLATRC,EMBPORT,EMBPORT2,EMBREG,EMBREG2,EVGREEN,FATE,FATE2,FATE3,FATE4,MAJBUYPT,MAJBYIMP,MAJBYIMP1,MAJSELPT,MJBYPTIMP,MJSELIMP,MJSELIMP1,MJSLPTIMP,NATINIMP,NATIONAL,OWNERA,OWNERB,OWNERC,PLAC1TRA,PLAC2TRA,PLAC3TRA,PLACCONS,PLACREG,PORTDEP,PORTRET,PTDEPIMP,REGARR,REGARR2,REGDIS1,REGDIS2,REGDIS3,REGEM1,RIG,SAILD1,SAILD2,SAILD3,SAILD4,SAILD5,SHIPNAME,SLA1PORT,SLAARRIV,SLADAFRI,SLADAMER,SLADVOY,SLAMIMP,SLAS32,SLAXIMP,SLINTEN2,SLINTEND,SOURCEA,SOURCEB,SOURCEC,SOURCED,SOURCEE,SOURCEF,SOURCEG,SOURCEH,TSLAVESD,TSLAVESP,TSLMTIMP,VOY1IMP,VOY2IMP,VOYAGE,VYMRTIMP,VYMRTRAT,XMIMPFLAG,YEAR5,YEAR10,YEAR25,YEAR100,YEARAF,YEARAM,YEARDEP,YRCONS,YRREG,filter_$
638,50299,"Silveira, J C",,,,,,25,5,1827,1826-10-10,10,,10,1826,,1827-05-25,,50200,50000,,,,60725,,60700,,TRUE,1,1,14,1,60725,60700,60000,50299,60725,50200,50000,50299,6,5,"Silva, Vicente de Paula",,,60725,,,,,50299,,50299,50200,,50200,,,60700,2,,,,,,Nova Viagem,50299,350,,,,350,,389,,,"PP,1845,XLIX:593-633","IUP,ST,11/B/253","APEB, mç 3176",,,,,,,,,227,21,21,,,25,66,33,14,1800,1827,1827,1826,,,0
639,50299,"Santos, A N dos",,,,,,2,4,1827,1826-10-21,21,,10,1826,,1827-04-02,,50200,50000,,,,60502,,60500,,TRUE,1,1,14,1,60517,60500,60000,50299,60517,50200,50000,50299,6,5,"Moreira, Manoel Francisco",,,60517,,,,,50299,,50299,50200,,50200,,,60500,13,,,,,,Segunda Rosália,50299,,,,,242,,257,,,"PP,1845,XLIX:593-633","IUP,ST,11/B/253","APEB, mç 3176",,,,,,,,,163,43,43,,,55,66,33,14,1800,1827,1827,1826,,,0
641,50299,"Barbosa, J",,,,,,15,4,1827,1826-08-04,4,,8,1826,,1827-04-15,,50200,50000,,,,60725,,60700,,TRUE,1,1,14,1,60725,60700,60000,50299,60725,50200,50000,50299,6,5,"Moreira, João Vítor",,,60725,,,,,50299,,50299,50200,,50200,,,60700,2,,,,,,Caçador,50299,303,,,,303,,337,,,"PP,1845,XLIX:593-633","IUP,ST,11/B/253","APEB, mç 3176",,,,,,,,,254,29,29,,,25,66,33,14,1800,1827,1827,1826,,,0
642,,"Pereira, F de S",,,,,,20,4,1827,,,,,,,1827-04-20,,50200,50000,,,,,,,,TRUE,49,1,14,1,60599,60500,60000,50299,60599,50200,50000,50299,6,,,,,60599,,,,,,,50299,,,50200,,,60500,,,,,,,Veloz,50299,,,,,325,,352,,,"PP,1845,XLIX:593-633","IUP,ST,11/B/253",,,,,,,,,,,23,23,,,15,66,33,14,1800,1827,1827,1827,,,0
643,,"Almeida, Manoel Joaquim de",24,,,,,21,4,1827,1826-12-15,15,,12,1826,,1827-04-21,,50200,50000,,,,60703,,60700,,TRUE,1,1,14,1,60725,60700,60000,50299,60725,50200,50000,50299,6,5,,,,60725,,,,,50299,,50299,,,50200,,,60700,13,,,,,,S Benedito Feliz,50299,105,,,,105,,112,,,"PP,1845,XLIX:593-633","IUP,ST,11/B/253","AHMS, 27.7, p. 10","AHMS, 27.7, p. 8v",,,,,,,,127,32,32,,,55,66,33,14,1800,1827,1827,1826,,,0
644,50299,"Vale, Vicente Ferreira",15,,,,,23,4,1827,1826-09-20,20,,9,1826,,1827-04-23,,50200,50000,,,,60725,,60700,,TRUE,1,1,14,1,60725,60700,60000,50299,60725,50200,50000,50299,6,5,"Silva, Vicente de Paula",,,60725,,,,,50299,,50299,50200,,50200,,,60700,49,,,,,,Esperança,50299,111,,,,111,,123,,,"PP,1845,XLIX:593-633","IUP,ST,11/B/253","APEB, mç 3176","AHMS, 27.7, p. 5",,,,,,,,215,26,26,,,89,66,33,14,1800,1827,1827,1826,,,0
645,,"West, J",,,,,,1,5,1827,,,,,,,1827-05-01,,50200,50000,,,,,,,,TRUE,1,1,14,1,60599,60500,60000,50299,60599,50200,50000,50299,9,9,,,,60599,,,,,,,50299,,,50200,,,60500,,,,,,,Ceylon,50299,,,,,325,,352,,,"PP,1845,XLIX:593-633","IUP,ST,11/B/253",,,,,,,,,,,38,38,,,15,66,33,14,1800,1827,1827,1827,,,0
646,50299,"Ferreira, José Rosa",,,,,1826,1,5,1827,,,,,,,1827-05-01,,50300,50000,,3,1827,60734,,60700,,TRUE,49,1,14,1,60799,60700,60000,50299,60734,50200,50000,50299,6,5,,,,60799,,,,,50399,,50399,50200,,50200,,,60700,3,,,,,,D Ana,50299,302,,,14,302,,316,,,"PP,1845,XLIX:593-633","AHNA, Códice D-1-5",,,,,,,316,,316,,23,23,14,0.04,30,66,33,14,1800,1827,1827,1826,,,0
647,,"Faria, João Antônio de",26,,,,,12,5,1827,1826-08-29,29,,8,1826,,1827-05-12,,50200,50000,,,,60725,,60700,,TRUE,1,1,14,1,60299,60200,60000,50299,60299,50200,50000,50299,6,,,,,60299,,,,,50299,,50299,,,50200,,,60200,2,,,,,,Eclipse,50299,,,,,277,,307,,,"PP,1845,XLIX:593-633","IUP,ST,11/B/253","AHMS, 27.7, p. 3v",,,,,,,,,256,33,33,,,25,66,33,14,1800,1827,1827,1826,,,0
648,,"Borges, João",16,,,,,15,5,1827,1826-10-07,7,,10,1826,,1827-05-15,,50200,50000,,,,60707,60734,60700,60700,TRUE,1,1,14,1,60799,60700,60000,50299,60734,50200,50000,50299,6,,,,,60799,,,,,50299,,50299,,,50200,,,60700,13,,,,,,S Amaro,50299,251,,,,251,,267,,,"PP,1845,XLIX:593-633","IUP,ST,11/B/253","AHMS, 27.7, p. 6",,,,,,,,,220,28,28,,,55,66,33,14,1800,1827,1827,1826,,,0
649,,"Machado, José",26,,,,,8,6,1827,1827-02-28,28,,2,1827,,1827-06-08,,50200,50000,,,,60725,,60700,,TRUE,1,1,14,1,60725,60700,60000,50299,60725,50200,50000,50299,6,5,,,,60725,,,,,50299,,50299,,,50200,,,60700,2,,,,,,Primeira Rosália,50299,436,,,,436,,484,,,"PP,1845,XLIX:593-633","IUP,ST,11/B/253","AHMS, 27.7, p. 14",,,,,,,,,100,29,29,,,25,66,33,14,1800,1827,1827,1827,,,0
650,,"Carvalho, J D de",,,,,,9,6,1827,,,,,,,1827-06-09,,50200,50000,,,,,,,,TRUE,1,1,14,1,60711,60700,60000,50299,60711,50200,50000,50299,6,,,,,60711,,,,,,,50299,,,50200,,,60700,,,,,,,S Vicente Ferreira,50299,128,,,,128,,139,,,"PP,1845,XLIX:593-633","IUP,ST,11/B/253",,,,,,,,,,,38,38,,,15,66,33,14,1800,1827,1827,1827,,,0
651,50299,"Santos, João Cardoso dos",,,,,,30,6,1827,,,,,1827,,1827-06-30,,50200,50000,5,6,1827,60711,,60700,,TRUE,1,1,14,1,60711,60700,60000,50299,60711,50200,50000,50299,6,5,"Lima, José de Cerqueira",,,60711,,,,,50299,,50299,50200,,50200,,,60700,40,,,,,,Henriqueta,50299,544,,,,544,,580,,,"PP,1845,XLIX:593-633","IUP,ST,11/B2/254",,,,,,,,,,,25,17,,,82,66,33,14,1800,1827,1827,1827,,,0
652,,,,,,,,,12,1827,,,,,,,,,,,,,,,,,,TRUE,1,1,14,1,,60900,60000,31316,60999,31300,30000,31316,3,1,,,,,,,,,,,,,,31300,,,,,,,,,,,31316,,,,,440,,535,,,"PP,1845,XLIX:593-633",,,,,,,,,,,,,,,,135,66,33,14,1800,1827,1827,1827,,,0
653,,"Manzana, S",,,,,,6,12,1827,1827-07-20,20,,7,1827,,1827-12-06,,31300,30000,,,,,,,,TRUE,1,1,14,1,,60900,60000,31399,60999,31300,30000,31399,3,1,,,,,,,,,31312,,31312,,,31300,,,,2,,,,,,Indagodora,31399,,,,,277,,307,,,"PP,1845,XLIX:593-633","IUP,ST,12/A/95,96",,,,,,,,,,139,,,,,25,66,33,14,1800,1827,1827,1827,,,0
654,,"Gómez, Jose",90,,,,,19,12,1827,,,,7,1827,,1827-12-19,,31300,30000,,,,,,,,TRUE,4,1,1,2,,60900,60000,31399,60999,31300,30000,31399,3,1,,,,,,,,,31312,,31312,,,21500,31300,,,1,,,,,,Guerrero,21599,519,,,,519,121,573,,,"PP,1845,XLIX:593-633","IUP,ST,12/A/96",Swanson,,,,,,,,,,,,,,20,66,33,14,1800,1827,1827,1827,,,0
655,31312,"Gonzalez, Ramon",49,,,,,,12,1827,1827-07-26,26,,7,1827,,,,31300,30000,,,,60673,,60600,,TRUE,1,1,14,1,,60600,60000,31308,60673,31300,30000,31308,3,1,,,,,,,,,31312,31312,31312,31300,,31300,,,,8,,,,,,Gallo,31308,350,,,,350,,389,,,"PP,1845,XLIX:593-633","AHNM, Estado, leg. 8019, 26",,,,,,,,,,,,,,,44,66,33,14,1800,1827,1827,1827,,,0
656,31312,,,,,,,22,1,1828,1827-08-11,11,,8,1827,,1828-01-22,,31300,30000,,,,,,,,TRUE,1,1,14,1,,60900,60000,31312,60999,31300,30000,31312,3,1,,,,,,,,,31312,,31312,31300,,31300,,,,8,,,,,,Emprendedor,31312,,,,,369,,411,,,"PP,1845,XLIX:593-633","AHNM, Estado, leg. 8018, 16",,,,,,,,,,164,,,,,44,66,33,14,1800,1828,1828,1827,,,0
657,31312,"Negrete, Antonio",,,,,,,2,1828,,,,,1827,,,,31300,30000,,,,60673,,60600,,TRUE,1,1,14,1,,60600,60000,31312,60673,31300,30000,31312,3,1,,,,,,,,,31312,,31312,31300,,31300,,,,51,,,,,,Primera,31312,,,,,270,,284,,,"PP,1845,XLIX:593-633","AHNM, Estado, leg. 8024, 4",,,,,,,,,,,,,,,91,66,33,14,1800,1828,1828,1827,,,0
658,,"Gardillo, José",,,,,,,3,1828,1827-09-09,9,,9,1827,,,,31300,30000,,,,,,,,TRUE,1,1,14,1,,60900,60000,31399,60999,31300,30000,31399,3,,,,,,,,,,31312,,31312,,,31300,,,,2,,,,,,Tres Manuelas,31399,,,,,277,,307,,,"PP,1845,XLIX:593-633",,,,,,,,,,,,,,,,25,66,33,14,1800,1828,1828,1827,,,0
659,31312,"Bosch, Jose",,,,,,,3,1828,1827-11-01,1,,11,1827,,,,31300,30000,,,,60673,,60600,,TRUE,1,1,14,1,,60600,60000,31399,60673,31300,30000,31399,3,1,,,,,,,,,31312,,31312,31300,,31300,,,,51,,,,,,Manuelita,31312,,,,,270,,284,,,"PP,1845,XLIX:593-633","AHNM, Estado, leg. 8022, 14",,,,,,,,,,,,,,,91,66,33,14,1800,1828,1828,1827,,,0
660,31312,"Insura, Andres",,,,,,,5,1828,1827-12-21,21,,12,1827,,,,31300,30000,,,,,,,,TRUE,49,1,14,1,60605,60600,60000,31302,60605,31300,30000,31302,3,1,,,,60605,,,,,31312,,31312,31300,,31300,,,60600,8,,,,,,Almirante,31302,650,,,,160,,819,,,"Daily Mail, 2014.03.04. Black Joke","PP,1845,XLIX:593-633","FO84/98,Adm,29.07.09,subenc","AHNM, Estado, leg. 8015, 6",,,,,,,,,,,,,44,66,33,14,1800,1827,1828,1827,,,0
661,,"Hernandez, M",,,,,,,6,1828,1828-01-03,3,,1,1828,,,,31300,30000,,,,,,,,TRUE,1,1,14,1,,60900,60000,31399,60999,31300,30000,31399,3,1,,,,,,,,,31312,,31312,,,31300,,,,2,,,,,,Indagadora,31399,,,,,277,,307,,,"PP,1845,XLIX:593-633","IUP,ST,12/A/86",,,,,,,,,,,,,,,25,66,33,14,1800,1828,1828,1828,,,0
662,,"Carbo, M",,,,,,,6,1828,1827-09-23,23,,9,1827,,,,31300,30000,,,,,,,,TRUE,1,1,14,1,,60900,60000,31399,60999,31300,30000,31399,3,,,,,,,,,,31312,,31312,,,31300,,,,1,,,,,,Segunda Teresa,31399,,,,,444,,490,,,"PP,1845,XLIX:593-633",,,,,,,,,,,,,,,,20,66,33,14,1800,1828,1828,1827,,,0
663,,"Echevarria, M S",,,,,,15,6,1828,1828-02-10,10,,2,1828,,1828-06-15,,31300,30000,,,,,,,,TRUE,1,1,14,1,,60900,60000,31399,60999,31300,30000,31399,3,,,,,,,,,,31312,,31312,,,31300,,,,2,,,,,,Dorotea,31399,,,,,277,,307,,,"PP,1845,XLIX:593-633","IUP,ST,12/A/86",,,,,,,,,,126,,,,,25,66,33,14,1800,1828,1828,1828,,,0
664,31312,"Rebel, Felipe",44,,,,,26,6,1828,1828-02-10,10,,2,1828,,1828-06-26,,31300,30000,,,,,,,,TRUE,122,1,3,3,60605,60600,60000,31399,60605,31300,30000,31399,3,1,,,,60605,,,,,31312,,31312,31300,,31300,,,60600,2,,,,,,Xerxes,31399,403,,,26,403,,429,,,"PP,1845,XLIX:593-633","IUP,ST,12/A1/136-45","IUP,ST,12/A/86","FO313/56,ff.102-66",,,,,429,,429,137,,,26,0.06,25,66,33,14,1800,1828,1828,1828,,,0
665,,"Perez, A",,,,,,14,7,1828,1828-01-16,16,,1,1828,,1828-07-14,,31300,30000,,,,,,,,TRUE,1,1,14,1,,60900,60000,31312,60999,31300,30000,31312,3,1,,,,,,,,,31312,,31312,,,31300,,,,2,,,,,,Transito,31312,,,,,277,,307,,,"PP,1845,XLIX:593-633","IUP,ST,12/A/86",,,,,,,,,,180,,,,,25,66,33,14,1800,1828,1828,1828,,,0
666,31312,"Noriega, E P",,,,,,,7,1828,1827-12-25,25,,12,1827,,,,31300,30000,,,,,,,,TRUE,1,1,14,1,,60900,60000,31312,60999,31300,30000,31312,3,1,,,,,,,,,31312,,31312,31300,,31300,,,,51,,,,,,Esperanza,31312,270,,,,270,,283,,,"PP,1845,XLIX:593-633","AHNM, Estado, leg. 8018, 17",,,,,,,,,,,,,,,91,66,33,14,1800,1828,1828,1827,,,0
667,31312,"Mata, A de",,,,,,19,8,1828,1827-12-22,22,,12,1827,,1828-08-19,,31300,30000,,,,60673,,60600,,TRUE,1,1,14,1,,60600,60000,31312,60673,31300,30000,31312,3,,,,,,,,,,31312,,31312,31300,,31300,,,,8,,,,,,Ricardo,31312,,,,,369,,411,,,"PP,1845,XLIX:593-633","AHNM, Estado, leg. 8025, 8",,,,,,,,,,241,,,,,44,66,33,14,1800,1828,1828,1827,,,0
668,31312,"Puig y Miro, Jozé",44,,,,,14,8,1828,1827-12-31,31,,12,1827,,1828-08-14,,31300,30000,,,,,,,,TRUE,122,1,3,3,60605,60600,60000,31399,60605,31300,30000,31399,3,,,,,60605,,,10499,,31312,,31312,31300,,31300,,,60600,5,,,,,,Intrepido,31399,168,,,208,168,,343,,,"PP,1845,XLIX:593-633","IUP,ST,12/A1/153-54","FO313/57,ff.1-16","PP,1829,XXVI,153",,,,,343,,343,227,,,208,0.61,38,66,33,14,1800,1827,1828,1827,,,0
669,,"Garay, J",,,,,,22,8,1828,1828-01-30,30,,1,1828,,1828-08-22,,31300,30000,,,,,,,,TRUE,1,1,14,1,,60900,60000,31399,60999,31300,30000,31399,3,1,,,,,,,,,31312,,31312,,,31300,,,,1,,,,,,Vengador,31399,,,,,444,,490,,,"PP,1845,XLIX:593-633","FO84/98,Adm,28.01.04,enc","IUP,ST,12/A/86",,,,,,,,,205,,,,,20,66,33,14,1800,1828,1828,1828,,,0
670,,"Cespeda, J G",,,,,,,8,1828,,,,,,,,,10100,10000,,,,,,,,TRUE,1,1,14,1,60599,60500,60000,31399,60599,31300,30000,31399,3,1,,,,60599,,,,,10102,,10102,,,31300,,,60500,1,,,,,,Pirro,31399,400,,,,400,,442,,,"PP,1845,XLIX:593-633","FO84/98,Adm,28.06.12,enc",,,,,,,,,,,,,,,20,66,33,14,1800,1828,1828,1828,,,0
671,31312,"Casal, R",,,,,,6,9,1828,1828-02-21,21,,2,1828,,1828-09-06,,31300,30000,,,,60673,,60600,,TRUE,1,1,14,1,,60600,60000,31399,60673,31300,30000,31399,3,1,,,,,,,,,31312,,31312,31300,,31300,,,,51,,,,,,Josefa (a) Fortuna,31312,,,,,270,,284,,,"PP,1845,XLIX:593-633","IUP,ST,12/A/86","AHNM, Estado, leg. 8020, 30",,,,,,,,,198,,,,,91,66,33,14,1800,1828,1828,1828,,,0
672,,"Igartua, M",,,,,,,9,1828,,,,,,,,,60600,60000,,,,,,,,TRUE,1,1,14,1,60515,60500,60000,31399,60515,31300,30000,31399,3,,,,,60515,,,,,60676,,60676,,,31300,,,60500,,,,,,,Fama de Cadiz (a) Diana,31399,700,,,,700,,735,,,"PP,1845,XLIX:593-633","PP,1831,XIX,B:10-11",,,,,,,,,,,,,,,112,66,33,14,1800,1828,1828,1828,,,0
673,31312,"Balandra, José",,,,,,3,11,1828,1828-02-06,6,,2,1828,,1828-11-03,,31300,30000,,,,60673,,60600,,TRUE,1,1,14,1,,60600,60000,31312,60673,31300,30000,31312,3,1,,,,,,,,,31312,,31312,31300,,31300,,,,51,,,,,,Primera Gallega,31312,,,,,270,,284,,,"PP,1845,XLIX:593-633","AHNM, Estado, leg. 8019, 28",,,,,,,,,,271,,,,,91,66,33,14,1800,1828,1828,1828,,,0
674,,"Araújo, Manoel Ferreira de",,,,,,11,7,1827,1826-11-06,6,,11,1826,,1827-07-11,,50400,50000,,,,60703,,60700,,TRUE,1,1,14,1,60703,60700,60000,50422,60703,50400,50000,50422,6,,"Ferreira, João Antônio",,,60703,,,,,50422,,50422,,,50400,,,60700,2,,,,,,Eclipse,50422,276,,,5,276,,281,,,"PP,1845,XLIX:593-633","Klein,Rio de Janeiro dataset 2","IUP,ST,12/B/105",Florentino,"Espelho, 07/11/1826",,,,281,,281,247,43,43,5,0.02,25,66,33,14,1800,1827,1827,1826,,,0
675,,"Silva, Antônio Lopes da",,,,,,13,7,1827,1826-09-22,22,,9,1826,,1827-07-13,,50400,50000,,,,60703,,60700,,TRUE,1,1,14,1,60711,60700,60000,50422,60711,50400,50000,50422,6,,"Pinto, Manoel Guedes",,,60711,,,,,50422,,50422,,,50400,,,60700,40,,,,,,Flor do Rio,50422,500,,,10,500,,510,,,"PP,1845,XLIX:593-633","Klein,Rio de Janeiro dataset 2","IUP,ST,12/B/105",Florentino,"DRJ,23/09/1826",,,,510,,510,294,35,35,10,0.02,82,66,33,14,1800,1827,1827,1826,,,0
676,,"Moreira, José Lopes da Costa (Jr)",,,,,,13,7,1827,1826-10-28,28,,10,1826,,1827-07-13,,50400,50000,,,,60711,,60700,,TRUE,76,1,10,3,60711,60700,60000,50422,60711,50400,50000,50422,6,,"Pinto, Manoel Guedes",,,60711,,,,,50422,,50422,,,50400,,,60700,40,,,,,,Audaz,50422,135,,,,135,,498,,,"PP,1845,XLIX:593-633","Klein,Rio de Janeiro dataset 2","IUP,ST,12/B/105",Florentino,"DRJ,30/10/1826",,,,498,,498,258,37,37,363,0.73,82,66,33,14,1800,1827,1827,1826,,,0
677,50422,"Santos, Joaquim Lopes",,,,,,15,7,1827,,,,,,,1827-07-15,,50400,50000,,,,60707,,60700,,TRUE,1,1,14,1,60707,60700,60000,50422,60707,50400,50000,50422,6,,"Faria, Joaquim Francisco de",,,60707,,,,,,,50499,50400,,50400,,,60700,40,,,,,,Imperador do Brasil,50422,269,,,47,269,,316,,,"PP,1845,XLIX:593-633","Klein,Rio de Janeiro dataset 2","IUP,ST,12/B/105","AHNA, cod. 7182",Florentino,,,,316,,316,,43,43,47,0.15,82,66,33,14,1800,1827,1827,1827,,,0
678,50422,"Viana, João Miguel",,,21,10,1826,21,7,1827,1826-09-16,16,,9,1826,,1827-07-21,,50400,50000,26,6,1827,60707,,60700,,TRUE,1,1,14,1,60707,60700,60000,50422,60707,50400,50000,50422,6,,"Ferreira, João Antônio",,,60707,,,,,50422,,50422,50400,,50400,,,60700,2,,,,,,Leoa Africana,50422,401,,,27,401,,428,,,"PP,1845,XLIX:593-633","Klein,Rio de Janeiro dataset 2","IUP,ST,12/B/105","AHNA, cod. 7182",Florentino,"AHNA, Códice E-20-1 (Benguela)","DRJ,18/09/1826",,428,,428,308,25,27,27,0.06,25,66,33,14,1800,1827,1827,1826,,,0
679,,"Oliveira, Francisco de Paula Neves de",,,,,,24,7,1827,,,,,,,1827-07-24,,50400,50000,,,,,,,,TRUE,1,1,14,1,60799,60700,60000,50422,60734,50400,50000,50422,6,,"Santos, Felix Jose dos",,,60734,,,,,,,50499,,,50400,,,60700,1,,,,,,NS da Conceição e Sr dos Passos,50422,396,,,82,396,,478,,,"PP,1845,XLIX:593-633","Klein,Rio de Janeiro dataset 2","IUP,ST,12/B/105",Florentino,,,,,478,,478,,37,37,82,0.17,20,66,33,14,1800,1827,1827,1827,,,0
680,,"Mota, Cândido José da",,,,,,1,8,1827,1826-09-12,12,,9,1826,,1827-08-01,,50400,50000,,,,60703,,60700,,TRUE,1,1,14,1,60703,60700,60000,50422,60703,50400,50000,50422,6,,"Dias, José Lourenço",,,60703,,,,,50422,,50422,,,50400,,,60700,25,,,,,,Três Corações,50422,573,,,4,573,,577,,,"PP,1845,XLIX:593-633","Klein,Rio de Janeiro dataset 2","IUP,ST,12/B/105",Florentino,"DRJ,13/09/1826",,,,577,,577,323,31,31,4,0.01,160,66,33,14,1800,1827,1827,1826,,,0
681,,"Pinto, José Gonçalves da Costa",,,,,,2,8,1827,1826-10-19,19,,10,1826,,1827-08-02,,50400,50000,,,,60711,,60700,,TRUE,1,1,14,1,60711,60700,60000,50422,60711,50400,50000,50422,6,,"Ferreira, João Antônio",,,60711,,,,,50422,,50422,,,50400,,,60700,40,,,,,,Novo Destino,50422,571,,,5,571,,576,,,"PP,1845,XLIX:593-633","Klein,Rio de Janeiro dataset 2","IUP,ST,12/B/105",Florentino,"DRJ,20/10/1826",,,,576,,576,287,36,36,5,0.01,82,66,33,14,1800,1827,1827,1826,,,0
682,,"Araújo, Manoel Ferreira de",,,,,,12,8,1827,1827-01-03,3,,1,1827,,1827-08-12,,50400,50000,,,,60799,60707,60700,60700,TRUE,1,1,14,1,60707,60700,60000,50422,60707,50400,50000,50422,6,,"Gomes, Miguel Ferreira",,,60707,,,,,50422,,50422,,,50400,,,60700,40,,,,,,Luís de Camões,50422,596,,,20,596,,616,,,"PP,1845,XLIX:593-633","Klein,Rio de Janeiro dataset 2","IUP,ST,12/B/105",Florentino,"DRJ,04/01/1827",,,,616,,616,221,26,26,20,0.03,82,66,33,14,1800,1827,1827,1827,,,0
683,,"Gomes, Manoel de Souza",,,,,,31,8,1827,,,,,,,1827-08-31,,50400,50000,,,,,,,,TRUE,1,1,14,1,60799,60700,60000,50422,60734,50400,50000,50422,6,,"Pinto, Manoel Guedes",,,60734,,,,,,,50499,,,50400,,,60700,1,,,,,,Comerciante,50422,453,,,31,453,,484,,,"PP,1845,XLIX:593-633","Klein,Rio de Janeiro dataset 2","IUP,ST,12/B/105",Florentino,,,,,484,,484,,29,29,31,0.06,20,66,33,14,1800,1827,1827,1827,,,0
684,,"Pinho, Manoel Soares de",,,,,,31,8,1827,1827-02-19,19,,2,1827,,1827-08-31,,50400,50000,,,,60799,60707,60700,60700,TRUE,1,1,14,1,60799,60700,60000,50422,60734,50400,50000,50422,6,,"Cruz, João Alves da",,,60734,,,,,50422,,50422,,,50400,,,60700,5,,,,,,Boa Viagem,50422,299,,,22,299,,321,,,"PP,1845,XLIX:593-633","Klein,Rio de Janeiro dataset 2","IUP,ST,12/B/105",Florentino,"Espelho, 20/02/1827",,,,321,,321,193,29,29,22,0.07,38,66,33,14,1800,1827,1827,1827,,,0
685,,"Ferreira, Francisco de Paula",,,,,,8,9,1827,,,,,,,1827-09-08,,50400,50000,,,,,,,,TRUE,1,1,14,1,60703,60700,60000,50422,60703,50400,50000,50422,6,,"Rêgo, Lourenço Antônio do",,,60703,,,,,,,50499,,,50400,,,60700,1,,,,,,Brilhante,50422,337,,,1,337,,338,,,"PP,1845,XLIX:593-633","Klein,Rio de Janeiro dataset 2","IUP,ST,12/B/105",Florentino,,,,,338,,338,,25,25,1,0,20,66,33,14,1800,1827,1827,1827,,,0
686,,"Ferreira, Luís da Costa",,,,,,8,9,1827,1827-02-09,9,,2,1827,,1827-09-08,,50400,50000,,,,60703,,60700,,TRUE,1,1,14,1,60703,60700,60000,50422,60703,50400,50000,50422,6,,"Meireles, Antônio José",,,60703,,,,,50422,,50422,,,50400,,,60700,40,,,,,,Triunfo da Inveja,50422,306,,,8,306,,314,,,"PP,1845,XLIX:593-633","Klein,Rio de Janeiro dataset 2","IUP,ST,12/B/105",Florentino,"DRJ,10/02/1827",,,,314,,314,211,26,26,8,0.03,82,66,33,14,1800,1827,1827,1827,,,0
687,,"Viana, José Antônio Pinheiro",,,,,,29,9,1827,,,,,,,1827-09-29,,50400,50000,,,,,,,,TRUE,1,1,14,1,60799,60700,60000,50422,60734,50400,50000,50422,6,,"Brito, José Antônio Alves de",,,60734,,,,,,,50499,,,50400,,,60700,1,,,,,,Dois Amigos,50422,464,,,8,464,,472,,,"PP,1845,XLIX:593-633","Klein,Rio de Janeiro dataset 2","FO84/65,Reffell,27.04.18","IUP,ST,12/B/105",Florentino,,,,472,,472,,23,23,8,0.02,20,66,33,14,1800,1827,1827,1827,,,0
688,50422,"Vieira, Francisco Manoel",,,19,1,1827,29,9,1827,1826-11-24,24,,11,1826,,1827-09-29,,50400,50000,28,8,1827,60707,,60700,,TRUE,1,1,14,1,60707,60700,60000,50422,60707,50400,50000,50422,6,,"Oliveira, Manoel Francisco de",,,60707,,,,,50422,,50422,50400,,50400,,,60700,13,,,,,,Bela Luísa,50422,229,,,24,229,,253,,,"PP,1845,XLIX:593-633","Klein,Rio de Janeiro dataset 2","IUP,ST,12/B/105",Florentino,"AHNA, cod. 7182","AHNA, Códice E-20-1 (Benguela)","DRJ,25/11/1827",,253,,253,309,32,38,24,0.09,55,66,33,14,1800,1827,1827,1826,,,0
689,,"Branco, Antônio Rodrigues",,,,,,4,10,1827,,,,,,,1827-10-04,,50400,50000,,,,,,,,TRUE,1,1,14,1,60703,60700,60000,50422,60703,50400,50000,50422,6,,"Ferreira, João Antônio",,,60703,,,,,,,50499,,,50400,,,60700,7,,,,,,Novo Providência,50422,212,,,,212,,212,,,"PP,1845,XLIX:593-633","Klein,Rio de Janeiro dataset 2","IUP,ST,12/B/105",Florentino,,,,,212,,212,,35,35,0,0,40,66,33,14,1800,1827,1827,1827,,,0
690,,"Brito, Vítor Nobre de",,,,,,15,10,1827,1827-04-10,10,,4,1827,,1827-10-15,,50400,50000,,,,60711,,60700,,TRUE,1,1,14,1,60725,60700,60000,50422,60725,50400,50000,50422,6,,"Meireles, Antônio José",,,60725,,,,,50422,,50422,,,50400,,,60700,2,,,,,,Voadora,50422,177,,,9,177,,186,,,"PP,1845,XLIX:593-633","Klein,Rio de Janeiro dataset 2","IUP,ST,12/B/105",Florentino,"DRJ,11/04/1827",,,,186,,186,188,34,34,9,0.05,25,66,33,14,1800,1827,1827,1827,,,0
